Price,Returns,Volatility,Momentum,Intraday_Range,Regime,gamma_0,gamma_1,gamma_2
2008-05-29,0.005320756886204,0.1444960157503641,0.0629865362995305,0.0126800311422207,1,0.0007037218241881155,0.9992921148164008,4.163360516516261e-06
2008-05-30,0.001515018374346,0.1437699024686875,0.1274113776887253,0.0045559097249081,1,0.0007268317665618808,0.9992667155380738,6.4526947352175665e-06
2008-06-02,-0.0105598229547777,0.1353915045117937,-0.203252118609915,0.0157540795155914,1,0.00010140751177036378,0.9998919951771189,6.597311700770235e-06
2008-06-03,-0.005804642134554,0.1356145257233163,-0.3116723294738296,0.0166950964268173,1,4.338252437861482e-05,0.9999506998503676,5.917627000333439e-06
2008-06-04,-0.0003267497324213,0.1351046236098838,-0.2610666269377302,0.0119373105282014,1,0.0002049379951809635,0.9997893462958304,5.715710479034327e-06
2008-06-05,0.0193085352541535,0.1498057968411635,-0.1208378729596205,0.0189238755281917,1,6.18431019127631e-08,0.9998919087007933,0.0001080294562286665
2008-06-06,-0.0313763380185377,0.1742832828059327,-0.2779956962736281,0.0295146783919999,1,1.205141174019432e-15,0.9992387390914379,0.000761260906782381
2008-06-09,0.0007933736546294,0.1735766037715818,-0.3124292363381825,0.014694226311631,1,4.5438264173164633e-07,0.9999876119840044,1.1933632706261604e-05
2008-06-10,-0.0024410485020095,0.1724922545418876,-0.2607438304059817,0.0112481286517126,1,1.500123093038451e-06,0.9999946454079349,3.854468575588895e-06
2008-06-11,-0.0170386810206492,0.1752069238208377,-0.5967339101635933,0.0161888110545802,1,2.8116452784589435e-09,0.999988999274619,1.0997915283252112e-05
2008-06-12,0.0032743322917701,0.1761845765828151,-0.5528249784394454,0.0162254474789351,1,1.5748663210947477e-08,0.9999945020177783,5.48223424652805e-06
2008-06-13,0.0149341891825909,0.1848855427631181,-0.4215857076158352,0.0134703410694882,1,1.2510098312682898e-09,0.999990051345242,9.947401979728356e-06
2008-06-16,8.086652661084205e-05,0.1796663203653483,-0.5469614036489554,0.0092858123037259,1,3.237500901904607e-08,0.9999927038491166,7.2637775454798e-06
2008-06-17,-0.0067943624734685,0.1798976697641033,-0.6434891585563127,0.011880649715153,1,1.1857174860847834e-08,0.9999922873582384,7.70078561408677e-06
